objid,g,r,i,z,type,run,rerun,zNN,zNN_err,zRF,zRF_err
1237662224092563231,22.4509,19.34877,16.87026,29.10345,3,3900,301,0.184984,0.090725,0.359152,0.171929
1237662661610636067,22.52083,20.73715,20.11113,19.55308,3,4002,301,0.360388,0.025066,0.352952,0.0543995
1237662224092693245,21.64478,20.44266,19.96379,19.80798,3,3900,301,0.192116,0.032924,0.180822,0.0596231
1237662661610439418,20.85763,20.34756,20.02502,19.7788,3,4002,301,0.16088,0.043894,0.1536,0.0668084
1237662661610439673,21.8127,20.73347,20.60012,19.99481,3,4002,301,0.424698,0.114494,0.416205,0.132555
1237662661610767592,22.44155,20.95715,20.54526,19.95858,3,4002,301,0.393654,0.10383,0.408215,0.117689
1237662698115301843,19.57509,18.3986,17.87971,17.52485,3,4010,301,0.16418,0.012386,0.156798,0.0302977
1237662698652108078,21.91611,20.63054,20.28076,19.92288,3,4010,301,0.375018,0.064386,0.341281,0.125303
1237662223555429557,21.54897,20.95472,20.92534,20.5682,3,3900,301,0.230204,0.097998,0.240617,0.114957
1237662223555757198,22.50483,20.77501,19.70996,19.22435,3,3900,301,0.531915,0.019814,0.537689,0.0890413
1237662224092693043,20.64688,20.17412,20.23799,19.84975,3,3900,301,0.297092,0.033344,0.258995,0.10111
1237662661610439030,20.77546,18.99214,18.3965,17.99404,3,4002,301,0.329347,0.021162,0.335768,0.0563862
1237662662147637841,21.05995,20.33993,19.95873,19.52188,3,4002,301,0.101834,0.034605,0.169984,0.164235
1237662697578496913,21.71531,20.18245,19.52538,18.95127,3,4010,301,0.294517,0.06237,0.299446,0.110259
1237662697578562360,21.73007,20.81798,20.50057,20.28963,3,4010,301,0.301154,0.053277,0.295733,0.0819385
1237662697578562579,21.84693,20.55392,20.03592,20.17136,3,4010,301,0.3558,0.140477,0.208367,0.0446136
1237662697578628107,20.93773,20.47753,20.21942,20.3607,3,4010,301,0.048808,0.037597,0.0368438,0.0138385
1237662698652172534,21.16072,20.47932,20.19303,20.10841,3,4010,301,0.111571,0.053257,0.0700134,0.0994009
1237662698652238462,20.45269,19.13299,18.56967,18.21689,3,4010,301,0.218109,0.034455,0.221535,0.0453064
1237662698652303896,20.28478,19.65267,19.35098,19.20981,3,4010,301,0.132037,0.051168,0.140359,0.0822683
1237662698652304526,21.71103,20.75803,20.43844,20.02575,3,4010,301,0.307059,0.053309,0.274907,0.0686584
1237662223555429409,22.05111,20.802,20.16468,19.88211,3,3900,301,0.43916,0.074693,0.413841,0.13317
1237662223555756843,20.50685,19.53964,19.0546,18.585,3,3900,301,0.161435,0.042028,0.151786,0.0768083
1237662224092300134,21.8465,20.76571,20.37772,19.99112,3,3900,301,0.335755,0.046915,0.30679,0.0804065
1237662224092692510,15.46732,14.64571,14.25309,13.88499,3,3900,301,0.055757,0.022833,0.0628587,0.0280567
1237662661610439185,19.935,18.50034,17.96974,17.57597,3,4002,301,0.225576,0.022183,0.220706,0.0394858
1237662662147310281,21.82912,20.70964,20.26495,19.62275,3,4002,301,0.346931,0.07227,0.271826,0.10397
1237662662147638532,21.18751,19.87748,19.36123,18.93856,3,4002,301,0.182869,0.010919,0.188335,0.0370439
1237662662147638543,22.01097,20.37641,19.57789,19.05411,3,4002,301,0.456027,0.034862,0.449608,0.0689792
1237662697578562429,22.33805,20.97894,20.369,19.80758,3,4010,301,0.186655,0.040065,0.216226,0.0728003
1237662697578627337,18.33279,16.88857,16.49835,22.85111,3,4010,301,0.218818,0.085397,0.196647,0.0598574
1237662697578627988,22.14295,20.83457,20.29064,19.71931,3,4010,301,0.404093,0.051405,0.278222,0.106935
1237662697578628457,21.38107,20.50823,20.35047,19.90684,3,4010,301,0.183009,0.096559,0.158336,0.133761
1237662698115170991,20.41184,18.77382,18.16389,17.79111,3,4010,301,0.289541,0.016737,0.288489,0.0434385
1237662698115171601,21.4547,20.69726,20.48273,20.18339,3,4010,301,0.255743,0.095598,0.22017,0.11598
1237662698115629331,16.69724,15.74158,15.22828,14.84385,3,4010,301,0.072409,0.023205,0.0731371,0.0241331
1237662698115629358,18.73197,18.11239,17.70259,17.48904,3,4010,301,0.0848,0.019129,0.0870011,0.0279278
1237662698652107515,21.96103,20.68214,19.82139,19.38733,3,4010,301,0.421251,0.089415,0.45207,0.182406
1237662698652107516,21.48434,20.62996,20.19476,19.93599,3,4010,301,0.075629,0.034439,0.0881867,0.0396357
1237662698652238902,20.89782,19.74735,19.29969,19.00133,3,4010,301,0.176193,0.01617,0.149229,0.0259797
1237662698652304182,21.59114,20.69992,20.25357,20.02361,3,4010,301,0.146173,0.068869,0.163995,0.18531
1237662698652369666,22.15825,20.74729,20.22072,19.69318,3,4010,301,0.541799,0.125394,0.281792,0.113725
1237662698652369783,21.1652,19.63671,19.0994,18.64838,3,4010,301,0.34654,0.051396,0.250893,0.0528398
1237662698652434455,22.46926,20.88182,19.83024,19.68509,3,4010,301,0.605636,0.094752,0.568698,0.148703
1237662223555494319,22.54049,20.82063,20.2228,19.6613,3,3900,301,0.360728,0.035336,0.334796,0.0547788
1237662223555494416,21.78238,19.76698,18.97349,18.6986,3,3900,301,0.415655,0.021238,0.431155,0.0683235
1237662223555495192,21.98667,20.94405,20.42908,20.12844,3,3900,301,0.19442,0.0218,0.193534,0.0498652
1237662223555559973,20.37465,19.71576,19.32652,19.13365,3,3900,301,0.192322,0.029962,0.155062,0.0429588
1237662223555560107,21.27733,20.82615,20.69453,20.89371,3,3900,301,0.129203,0.055024,0.186085,0.10309
1237662223555560142,20.61706,19.76761,19.31423,18.9015,3,3900,301,0.253216,0.05287,0.191803,0.0948006
1237662223555560551,21.72947,20.09401,19.24543,18.65515,3,3900,301,0.485743,0.030648,0.476101,0.0733355
1237662223555690943,18.57841,17.72461,17.27052,16.9795,3,3900,301,0.144228,0.022872,0.133378,0.0309658
1237662223555691519,22.2485,20.57239,19.78602,19.34382,3,3900,301,0.414031,0.052093,0.432922,0.0685421
1237662223555691542,21.01076,19.81387,19.3132,19.04153,3,3900,301,0.187323,0.01798,0.17114,0.0386981
1237662223555691552,22.05053,20.51592,20.03437,19.55693,3,3900,301,0.32425,0.108446,0.277389,0.103768
1237662224092300498,21.56173,20.17697,19.30722,18.81413,3,3900,301,0.444682,0.089673,0.451843,0.149373
1237662224092300531,21.98222,20.92222,20.46805,19.94528,3,3900,301,0.397165,0.064759,0.239065,0.115386
1237662661610439641,21.89946,20.67132,20.41504,20.04638,3,4002,301,0.393422,0.100744,0.409719,0.115982
1237662662147310539,21.08466,20.02175,19.57553,19.11526,3,4002,301,0.121234,0.010943,0.120141,0.021932
1237662662147376180,21.22761,19.42107,18.75635,18.23657,3,4002,301,0.375704,0.022396,0.372141,0.0585557
1237662662147638004,21.24864,20.62719,20.3638,20.36633,3,4002,301,0.246266,0.127511,0.203692,0.111324
1237662662147638627,21.13192,20.00746,19.57408,19.01069,3,4002,301,0.356331,0.072499,0.316637,0.10242
1237662697578431624,20.32799,19.74823,19.43482,19.22692,3,4010,301,0.044754,0.019914,0.0608895,0.0236964
1237662697578431877,21.23846,19.89719,19.41569,18.99438,3,4010,301,0.190311,0.01909,0.197717,0.0501708
1237662697578497383,21.40105,20.60387,20.22046,20.20176,3,4010,301,0.168557,0.063254,0.168669,0.114624
1237662697578497424,22.27584,20.80503,20.31981,19.97634,3,4010,301,0.284479,0.050205,0.286937,0.0816448
1237662697578627822,21.05793,19.34542,18.54315,18.0419,3,4010,301,0.440323,0.027615,0.451013,0.0647598
1237662697578628918,21.6328,20.63783,18.79848,20.23103,3,4010,301,0.451338,0.218814,0.516503,0.286328
1237662698115170889,21.78584,20.25361,19.67679,19.47128,3,4010,301,0.306035,0.050338,0.261505,0.055699
1237662698115170894,18.91372,17.768,17.3155,16.96869,3,4010,301,0.150655,0.009776,0.169248,0.0445597
1237662698115170895,20.41739,19.28483,18.79359,18.43131,3,4010,301,0.149306,0.01337,0.149871,0.0274942
1237662698115171617,22.7888,20.95749,20.24685,19.70411,3,4010,301,0.41058,0.028863,0.39912,0.0615627
1237662698115171949,22.71177,20.79784,19.68678,19.32573,3,4010,301,0.565517,0.024477,0.557331,0.109508
1237662698115235857,17.64594,16.28596,15.855,23.10546,3,4010,301,0.177733,0.084397,0.162083,0.0492431
1237662698115236348,19.40254,17.96971,16.93264,16.37217,3,4010,301,0.568162,0.09154,0.55394,0.16693
1237662698115564099,19.71573,18.56232,18.04008,17.70067,3,4010,301,0.174637,0.014975,0.165029,0.0305796
1237662698115629730,21.2806,20.55655,20.35879,20.02162,3,4010,301,0.350439,0.089237,0.306789,0.111849
1237662698115629913,21.85573,20.67425,20.336,19.99257,3,4010,301,0.389914,0.054945,0.343601,0.101539
1237662698652107293,18.42114,17.26784,16.76154,16.43092,3,4010,301,0.183821,0.019473,0.174894,0.0324278
1237662698652172653,21.68601,20.98851,20.81241,20.8009,3,4010,301,0.24464,0.092704,0.112847,0.0721622
1237662698652173279,22.47001,20.89949,19.75258,19.17572,3,4010,301,0.607107,0.040582,0.59434,0.113126
1237662698652173447,20.75492,19.54,19.0518,18.61593,3,4010,301,0.157864,0.009846,0.162825,0.0329073
1237662698652238205,20.75157,19.69505,19.13287,18.88579,3,4010,301,0.144299,0.029961,0.140527,0.069976
1237662698652238986,21.31538,20.05631,19.58203,19.21465,3,4010,301,0.188204,0.030645,0.195091,0.0572302
1237662698652239041,21.18443,20.7986,20.38845,20.21542,3,4010,301,0.070493,0.016993,0.0848143,0.0263909
1237662698652304456,20.52861,19.72546,19.32,18.91444,3,4010,301,0.239001,0.065227,0.232005,0.099426
1237662698652368914,20.63948,19.97048,19.7771,19.43613,3,4010,301,0.308174,0.038112,0.264726,0.0871436
1237662698652369629,21.79048,20.8187,20.55152,20.35349,3,4010,301,0.302555,0.093047,0.334709,0.101116
1237662698652369651,20.35431,19.64625,19.24123,19.26643,3,4010,301,0.098491,0.065307,0.0812507,0.0762679
1237662698652434525,22.0928,20.40849,19.75412,19.23862,3,4010,301,0.372257,0.037531,0.367135,0.0613236
