redshift,u,g,r,i,z,ra,dec,expAB_r,petroR50_r,petroR90_r
0.006297647,16.32475,15.41002,15.00167,14.84394,14.72891,225.005458230596,-1.09107211264564,0.9152005,6.316397,15.02518
0.005900366,14.86331,13.66733,13.52052,13.65573,14.4236,219.958345480079,-0.718152114400333,0.3872024,39.85787,109.6407
0.005982158,18.18669,18.47326,24.80204,24.36181,22.82691,219.958501064505,-0.70638700599989,0.4963502,3.923577,4.296483
0.005933682,20.89076,19.56155,19.05468,18.81225,18.49508,219.956938645417,-0.718591316437047,0.3168932,0.9280246,1.53705
0.006004397,17.90221,17.09666,16.78901,16.65128,16.63117,218.725807266409,-0.342648271706924,0.6758399,4.012252,10.68054
0.006050064,17.97872,17.00286,16.74746,16.53435,16.30511,219.919930642651,-0.302617291215641,0.5312648,10.42553,18.80703
0.005755075,14.53906,12.81322,11.62901,11.04857,10.62917,220.23483256112,-0.318189620931768,0.3645742,16.34517,51.96191
0.005678178,15.59201,14.57665,14.14816,13.95194,13.83326,220.691272703938,-0.351164855506639,0.3126908,8.936588,20.69316
0.005732589,18.99134,17.95382,17.69674,17.48648,17.57262,219.927747058069,0.0561291593715504,0.4735117,4.395864,9.356831
0.006228141,17.70953,16.62706,16.21041,16.04868,15.95152,220.063654465244,0.206730431819273,0.5921162,5.12323,11.63928
0.00554662,19.09935,17.70608,17.06143,16.79598,16.58546,226.670714264195,0.0767435248703553,0.6654435,4.36849,10.80024
0.006317841,18.13404,17.43918,17.24961,17.18066,17.11399,185.27933556947,0.461336226526869,0.6190197,2.5355,5.427557
0.006237303,22.10492,21.30144,20.58696,20.1933,19.80593,224.471119965348,0.934152545194781,0.800054,0.7150815,1.259356
0.005791203,18.70421,17.74599,17.27943,17.05282,16.95534,225.253497380085,1.01386883445157,0.5094425,7.002906,14.35955
0.006197183,17.94975,17.15756,16.79135,16.61843,16.49963,227.38999560597,-1.02151578944038,0.5603739,3.386317,9.337774
0.006036635,17.15092,15.95998,15.44168,15.17762,15.00036,146.619010710388,-0.434287555480868,0.8252509,6.235821,12.42543
0.00611839,18.04145,16.90798,16.67686,16.58119,16.61339,177.641798503958,-0.537806190422509,0.3999484,4.701351,9.830846
0.005559985,17.96031,17.09888,16.90992,16.76403,16.73141,191.449697570267,-0.432415070291826,0.6200063,4.402027,10.44479
0.00595112,19.38968,18.0034,17.61784,17.45474,17.40866,220.097042971365,-0.562340717797475,0.7516966,3.200978,7.5243
0.005957456,18.38786,17.40228,17.09004,16.90431,16.9342,220.698695953263,-0.498377007485852,0.6905321,4.433986,10.22655
0.005550537,16.7968,15.62063,15.11072,14.9177,15.58371,221.315874582069,-0.159530792094808,0.6539081,7.969244,18.93617
0.006327039,20.36307,19.56225,19.27759,19.09766,18.92128,147.630420488673,0.407492703975418,0.6686786,8.464942,23.55737
0.00628506,16.10181,15.04963,14.40126,14.29108,14.35274,220.452782137433,0.686968548245436,0.4432614,15.13911,33.09118
0.006060423,16.47631,15.4136,14.97834,14.78242,14.63968,220.695594649317,0.661733899084673,0.2017778,10.64639,25.21161
0.006153071,17.26229,16.0533,15.48051,15.16172,15.09988,228.132230505139,0.812640379416814,0.5005381,8.722062,18.71925
0.006288003,15.65211,13.85529,13.30946,12.9847,12.92803,178.90395323409,1.23718155757936,0.619301,31.38178,59.48714
0.006215455,15.02618,13.19534,12.42564,12.01999,11.72681,190.112880022748,1.19692557687818,0.490157,9.008862,28.13907
0.005727053,15.54684,14.54965,14.02828,13.79697,13.65497,177.210023504419,-2.03223335918268,0.5198444,17.56388,42.58176
0.006282841,18.43067,17.24718,16.72948,16.48939,16.28018,147.176392366758,-0.354028151096033,0.8905454,4.690735,14.03683
0.005939425,16.58762,15.28243,14.60401,14.22942,14.12513,146.723476148573,0.50737042559294,0.3703253,16.66686,45.6799
0.006186391,18.4032,16.7881,16.13641,15.78057,15.63285,146.772911129182,0.964234474908634,0.5400873,8.687799,20.51252
0.005975337,18.50938,17.52566,17.23471,17.04659,16.79632,163.522486627095,64.7080330543584,0.2499305,6.078104,13.34475
0.005988116,17.38694,16.30046,15.84505,15.6446,15.50888,209.678668124317,61.8626294156533,0.6865658,5.33018,12.17422
0.005755536,17.39331,16.57236,16.22671,16.15046,16.0362,211.352670468514,61.5670183658719,0.856259,3.811524,9.153709
0.005754624,17.6459,16.33823,16.0235,15.88187,15.78203,198.116742411045,63.7995708650008,0.3199079,5.167883,11.45166
0.005588139,18.6126,17.87622,17.75094,17.68775,17.57917,165.853083460859,63.6731037424156,0.8399835,2.875485,6.61297
0.005888203,16.05849,15.67039,15.64137,15.86571,15.81989,207.973251949232,64.3728548509354,0.6841132,5.254999,15.96995
0.00572598,18.67063,17.5265,17.14655,16.89531,16.92414,157.861769864731,64.2570558962349,0.642043,2.887093,6.385511
0.006098145,19.03585,18.04444,17.66693,17.52374,17.73549,158.732733767682,64.4759129066481,0.7591244,5.965979,13.06256
0.005886235,18.61229,17.7262,17.31376,17.17192,17.03311,154.878333778891,64.1189998746956,0.7551327,3.708948,9.822837
0.005676665,18.13264,16.62099,16.27463,16.16181,16.04888,150.479406571949,63.8927284599416,0.19997,7.199346,18.60901
0.006267129,17.88331,16.75329,16.24541,16.00003,15.83595,194.066709593581,68.1128613600821,0.7713531,5.849632,14.4628
0.005847976,15.98164,15.07887,15.04834,15.22931,14.609,127.411461825974,52.0763508827415,0.5859938,2.360199,6.845463
0.005764075,18.6806,17.97985,17.69823,17.6433,17.51953,156.590341125127,63.7092683930854,0.7576987,2.303292,5.913035
0.005577475,15.70888,14.27751,13.72162,13.42869,13.24277,159.506775934654,64.2663533168072,0.8882042,4.352843,13.39992
0.006158714,18.87858,17.81305,17.49218,17.33943,17.25616,158.415036615935,64.6880399734087,0.408206,3.41468,5.42971
0.005710164,21.408,19.10169,18.7017,18.67469,19.17436,164.01786988707,65.4152086945226,0.7952859,2.999376,8.700077
0.005662875,17.24278,16.01906,15.54031,15.37255,15.2877,206.466502200142,65.3859785177393,0.7999471,10.93016,19.89275
0.005768322,19.22663,18.09488,17.59986,17.42137,17.23136,158.087217952535,64.8681598511189,0.7226276,2.771817,6.970142
0.005602959,14.99198,13.45538,12.7773,12.43892,12.22881,158.145260196071,65.0410923258633,0.5890225,11.94658,30.43176
0.005700618,18.88159,18.76716,17.66782,18.0798,18.83278,144.542723637378,61.8699437580002,0.8653675,4.349733,9.366669
0.005556944,16.86939,15.83771,15.44903,15.22064,15.14659,188.336536981738,1.52160810423547,0.3485096,7.292413,15.34867
0.006157753,14.5682,12.96571,12.29421,11.95023,11.71717,189.521550000426,1.47775876086709,0.62717,11.12247,32.28876
0.005698411,19.35514,17.99585,17.51828,17.49073,17.55313,223.788665217291,1.10062266264875,0.7887276,4.960771,11.80481
0.006541668,14.64921,12.63778,11.67386,11.23929,10.86306,180.675998135744,1.97680294971403,0.9661993,18.41516,55.05785
0.006051128,18.41227,17.17024,16.75501,16.54829,16.35535,185.874889938011,2.00808180361748,0.2025442,7.718337,18.78713
0.005923959,18.67404,17.28443,16.7329,16.48081,16.28613,187.460744069565,2.03158851487952,0.5660666,4.09789,9.942101
0.006362626,16.24918,15.06464,14.60353,14.33497,14.13672,220.623377795547,1.50039969185541,0.6207461,5.873576,13.20874
0.005746124,16.0616,14.36402,13.59787,13.19158,12.83974,220.984886496408,1.60416096337348,0.4279269,4.302831,13.10674
0.005868103,19.00035,17.64548,16.97454,16.78888,16.66348,223.732527407134,1.52551690697919,0.7450652,5.936786,12.79317
0.006284619,18.06435,16.44072,15.71171,15.36998,15.1926,225.219108839667,1.40493850238723,0.4319677,7.946956,18.2119
0.006226315,18.93572,17.60669,17.36446,17.15814,17.17056,150.024488646352,1.91095933198437,0.4118573,3.841711,8.144395
0.006105036,16.49046,15.31383,14.6925,14.45039,14.19356,185.490831979699,2.34508437999103,0.8778868,5.970989,12.15836
0.005644963,13.7239,12.61101,12.01148,11.86676,11.84072,186.743765898306,2.49429340534906,0.3999702,15.52891,31.10488
0.005870979,15.29576,14.22107,13.69524,13.41157,13.19455,188.591747074094,2.32539279953481,0.3360337,15.10887,40.65641
0.00623285,17.3826,15.66633,14.8983,14.58118,14.35523,224.588159921354,1.84543315593327,0.6298928,7.753305,22.50981
0.006110244,17.15522,15.5393,14.75134,14.36716,14.14906,227.023372956356,1.65161217241562,0.4206552,8.989516,27.81581
0.005807774,18.9836,17.62437,16.97856,16.70014,16.51335,227.09453538087,1.79861179720959,0.5491951,5.690328,11.99299
0.006247486,18.40884,17.04222,16.44992,16.17134,15.97549,228.172453310638,1.62326802390653,0.4879467,3.989617,10.64621
0.006120098,16.23586,15.14345,14.6549,14.41159,14.25477,185.735958822325,2.74694800490897,0.4329219,6.338563,18.24827
0.005915288,20.90885,19.1095,18.07652,17.52242,17.08331,219.421132874301,2.29077384888558,0.8498148,0.7361916,1.301592
0.006065526,16.60225,15.19245,14.49748,14.13539,13.83966,225.069021440175,2.30072125918524,0.3125336,10.97075,26.88227
0.005678081,18.63766,17.07384,16.43748,16.12265,15.95741,226.102879253669,2.11459388615923,0.5674402,5.137079,11.79603
0.006084908,17.04377,16.25706,16.03261,15.93827,15.77571,226.547196392822,2.09624925266609,0.2670996,8.457922,19.16803
0.005610828,18.09978,16.63239,15.99167,15.67419,15.44805,228.100191670673,2.0800626721503,0.6674928,6.51413,14.85183
0.005873261,18.74477,17.54103,17.21148,16.91604,17.1664,219.992738592346,2.74787827900247,0.7918289,5.499091,12.24593
0.005950505,18.5602,17.15094,16.48251,16.19124,15.99283,225.934500261651,2.5522702165628,0.8765218,6.130965,14.62528
